Link,Charger Name,Google Review Rate,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,Address,Source,EgL07d src,R8c4Qb,EgL07d src 2,R8c4Qb 2,A5dCOc src,JpCtJf,Power,yNqZw,lmLZWe,W4Efsd 5,Opening Time,Contact,Second Contact Number,fontBodyMedium
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad613ccd16f2127:0xed92ed79e5c52a2f!8m2!3d-38.0270921!4d145.2116802!16s%2Fg%2F11ggr99clm!19sChIJJyFv0cwT1moRLyrF5Xntku0?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,1,-1,·,Electric vehicle charging station,·,260-284 Frankston - Dandenong Rd,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,2,,,,,
https://www.google.com/maps/place/Evie+Charging+Station/data=!4m7!3m6!1s0x6ad61420d07d922d:0x2705abea6bf1fcdf!8m2!3d-37.9716443!4d145.2237479!16s%2Fg%2F11mwkw77tq!19sChIJLZJ90CAU1moR3_zxa-qrBSc?authuser=0&hl=en&rclk=1,Evie Charging Station,4.2,-6,·,Electric vehicle charging station,·,"Ampol Dandenong, CNR STUD RD AND, Heatherton Rd",https://goevie.com.au/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CHAdeMO,· 350 kW,,1-Feb,·,Open 24 hours,·,1300 463 843,
https://www.google.com/maps/place/Tesla+Destination+Charger/data=!4m7!3m6!1s0x6ad6123c1bb2e45b:0x6ee25b0fdfee3856!8m2!3d-38.041583!4d145.209861!16s%2Fg%2F11h_kdgj66!19sChIJW-SyGzwS1moRVjju3w9b4m4?authuser=0&hl=en&rclk=1,Tesla Destination Charger,,,·,Electric vehicle charging station,·,388-404 Frankston - Dandenong Rd,https://www.tesla.com/charging,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Tesla,· 22 kW,Total,2,·,,(03) 9706 6785,,No reviews
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad616a5e7138077:0x8dca16228d74b891!8m2!3d-37.9854814!4d145.2327025!16s%2Fg%2F11mvwrp65d!19sChIJd4AT56UW1moRkbh0jSIWyo0?authuser=0&hl=en&rclk=1,Chargefox Charging Station,,,·,Electric vehicle charging station,·,182 Kidds Rd,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 7.2 kW,,2-Feb,·,,1300 518 038,,No reviews
https://www.google.com/maps/place/Evie+Charging+Station/data=!4m7!3m6!1s0x6ad672c1e6966f6b:0xdf0fb1a94521e28f!8m2!3d-38.0547951!4d145.1159521!16s%2Fg%2F11spqh96zh!19sChIJa2-W5sFy1moRj-IhRamxD98?authuser=0&hl=en&rclk=1,Evie Charging Station,,,·,Electric vehicle charging station,·,1 Chelsea Rd,https://www.goevie.com.au/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CHAdeMO,· 50 kW,,2-Feb,·,Open 24 hours,·,1300 463 843,No reviews
https://www.google.com/maps/place/Tesla+Destination+Charger/data=!4m7!3m6!1s0x6ad616cadbfd4b1f:0x5eb69dd9f06c9c31!8m2!3d-38.002297!4d145.250432!16s%2Fg%2F11gr60b_3z!19sChIJH0v928oW1moRMZxs8Nmdtl4?authuser=0&hl=en&rclk=1,Tesla Destination Charger,,,·,Electric vehicle charging station,·,5-17 Doveton Ave,,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,,,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Tesla,· 22 kW,Total,1,·,(03) 9771 6000,,,No reviews
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad6153db6384fb7:0x27aee0b74bf4232f!8m2!3d-37.9219276!4d145.1575352!16s%2Fg%2F11ggr99p_0!19sChIJt084tj0V1moRLyP0S7fgric?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,,,·,Electric vehicle charging station,·,783 Springvale Rd,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,2,,,,,No reviews
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad614f7beb3b025:0x4101c32f0f4ad437!8m2!3d-37.9528594!4d145.1800715!16s%2Fg%2F11j8xgnyrh!19sChIJJbCzvvcU1moRN9RKDy_DAUE?authuser=0&hl=en&rclk=1,Chargefox Charging Station,5,-1,·,Electric vehicle charging station,·,550 Princes Hwy,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 22 kW,,2-Feb,·,,1300 518 038,,
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad66acda9e145c9:0xd8612ba09434db0e!8m2!3d-37.9078295!4d145.1311389!16s%2Fg%2F11g3ztr5bz!19sChIJyUXhqc1q1moRDts0lKArYdg?authuser=0&hl=en&rclk=1,Chargefox Charging Station,5,-1,·,Electric vehicle charging station,·,10 Research Way,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,CHAdeMO,· 50 kW,,2-Apr,·,,1300 518 038,,
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad616a5e7138077:0x8dca16228d74b891!8m2!3d-37.9854814!4d145.2327025!16s%2Fg%2F11mvwrp65d!19sChIJd4AT56UW1moRkbh0jSIWyo0?authuser=0&hl=en&rclk=1,Chargefox Charging Station,,,·,Electric vehicle charging station,·,182 Kidds Rd,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 7.2 kW,,2-Feb,·,Open 24 hours,1300 518 038,,No reviews
