"Link","Name of Parks","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","Type","W4Efsd 3","Address","W4Efsd 5","asd2asd","","W4Efsd 8","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3","W6VQef","W4Efsd 9","A1zNzb href","J8zHNe"
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Future+Future/data=!4m7!3m6!1s0x6ad643b07fc47f8d:0x4e3ad49d1095ff85!8m2!3d-37.8256621!4d144.99853!16s%2Fg%2F11f7799bvx!19sChIJjX_Ef7BD1moRhf-VEJ3UOk4?authuser=0&hl=en&rclk=1","Future Future","4.6","(294)","·","$$","·","Japanese","·","191 Swan St","·","Contemporary cafe for Italian classics","Closed","⋅ Opens 5:30PM Tue","https://lh5.googleusercontent.com/p/AF1QipPMSsiaUJ57rigmPAwSGtP2hJBGUhm1FzXIPq-d=w160-h184-p-k-no","Dine-in","·","Takeaway","·","Delivery","·","","",""
"https://www.google.com/maps/place/Vermont+Thai/data=!4m7!3m6!1s0x6ad63ee2432dc289:0x6d37430b42be8614!8m2!3d-37.8562586!4d145.1835198!16s%2Fg%2F1hcb0gxy9!19sChIJicItQ-I-1moRFIa-QgtDN20?authuser=0&hl=en&rclk=1","Vermont Thai","3.9","(120)","·","$$","·","Thai","·","503A Burwood Hwy","·","Traditional staples in modern surrounds","Open","⋅ Closes 12AM","https://lh5.googleusercontent.com/p/AF1QipNnr9vlO1XVNluF07V6ptgGZiTIdar0i3sMmmmm=w160-h184-p-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","·","https://www.google.com/maps/reserve/v/dine/c/If5HfiNnWD8?source=pa&hl=en-AU&gei=LHQ5Y9rUJq7z4-EPj4i-iA0&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dau%26pb%3D!4m12!1m3!1d15902.062465697545!2d145.1265483489004!3d-37.83985756036363!2m3!1f0!2f0!3f0!3m2!1i1920!2i969!4f13.1!7i20!8i100!10b1!12m8!1m1!18b1!2m3!5m1!6e2!20e3!10b1!16b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m42!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e9!2b1!3e2!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!2b1!4b1!9b0!22m2!1shXI5Y-SPA9iM4-EP2dSm4Aw!7e81!24m70!1m22!13m8!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!18m12!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!15b1!17b1!20b1!21b1!2b1!5m5!2b1!3b1!5b1!6b1!7b1!10m1!8e3!14m1!3b1!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m2!1b1!3b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m4!1m2!3b1!5b1!4b1!89b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i458!2i969!1m6!1m2!1i1870!2i0!2m2!1i1920!2i969!1m6!1m2!1i0!2i0!2m2!1i1920!2i20!1m6!1m2!1i0!2i949!2m2!1i1920!2i969!34m18!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!37m1!1e81!42b1!46m1!1e9!47m0!49m5!3b1!6m1!1b1!7m1!1e3!50m156!1m151!2m7!1u3!4sOpen%2Bnow!5e1!9s0ahUKEwj8-6fltsH6AhU-4TgGHaZ8CDgQ_KkBCLEGKBc!10m2!3m1!1e1!2m7!1u5!4sJapanese!5e1!9s0ahUKEwj8-6fltsH6AhU-4TgGHaZ8CDgQ_KkBCLIGKBg!10m2!5m1!1sgcid:japanese_restaurant!2m7!1u5!4sChinese!5e1!9s0ahUKEwj8-6fltsH6AhU-4TgGHaZ8CDgQ_KkBCLMGKBk!10m2!5m1!1sgcid:chinese_restaurant!2m7!1u2!4sTop-rated!5e1!9s0ahUKEwj8-6fltsH6AhU-4TgGHaZ8CDgQ_KkBCLQGKBo!10m2!2m1!1e1!3m1!1u3!3m1!1u2!3m113!1u5!2m7!1m2!5m1!1sgcid:asian_fusion_restaurant!2sAsian%2BFusion!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/restaurant.png!2m7!1m2!5m1!1sgcid:chinese_restaurant!2sChinese!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/chinese.png!2m7!1m2!5m1!1sgcid:french_restaurant!2sFrench!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/french.png!2m7!1m2!5m1!1sgcid:greek_restaurant!2sGreek!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/restaurant.png!2m7!1m2!5m1!1sgcid:indian_restaurant!2sIndian!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/indian.png!2m7!1m2!5m1!1sgcid:italian_restaurant!2sItalian!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/italian.png!2m7!1m2!5m1!1sgcid:japanese_restaurant!2sJapanese!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/japanese.png!2m7!1m2!5m1!1sgcid:lebanese_restaurant!2sLebanese!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/restaurant.png!2m7!1m2!5m1!1sgcid:malaysian_restaurant!2sMalaysian!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/thai.png!2m7!1m2!5m1!1sgcid:modern_australian_restaurant!2sModern%2BAustralian!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/restaurant.png!2m7!1m2!5m1!1sgcid:seafood_restaurant!2sSeafood!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/seafood.png!2m7!1m2!5m1!1sgcid:sushi_restaurant!2sSushi!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/sushi.png!2m7!1m2!5m1!1sgcid:thai_restaurant!2sThai!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/thai.png!2m7!1m2!5m1!1sgcid:vietnamese_restaurant!2sVietnamese!3m2!2m1!1shttps://ssl.gstatic.com/local/refinements/cuisineicons/japanese.png!4BIAEqAkFV!2e2!3m2!1b1!3b1!59BQ2dBd0Fn!67m2!7b1!10b1!69i620%26q%3Ddinning%2Bin%2Bburwood%26ech%3D13%26psi%3DhXI5Y-SPA9iM4-EP2dSm4Aw.1664709254246.1","Reserve a table"
"https://www.google.com/maps/place/Geppetto%E2%80%99s/data=!4m7!3m6!1s0x6b12badd03f236bf:0xff2f391fd5781fba!8m2!3d-37.8502701!4d145.1198595!16s%2Fg%2F11xphrj3_!19sChIJvzbyA926EmsRuh941R85L_8?authuser=0&hl=en&rclk=1","Geppetto’s","3.8","(475)","·","$$","·","Italian","·","279-281 Burwood Hwy","·","Contemporary cafe for Italian classics","Open","⋅ Closes 12AM","https://lh5.googleusercontent.com/p/AF1QipPUIkd7YbUzTho5U1OhQPdBHLfcfNB--3bWcQzo=w163-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","·","",""
"https://www.google.com/maps/place/Spice+Nation+Burwood/data=!4m7!3m6!1s0x6ad641ddbe540fe9:0x3cb0fbe09e7985e0!8m2!3d-37.850286!4d145.096363!16s%2Fg%2F11gjv6xlp8!19sChIJ6Q9Uvt1B1moR4IV5nuD7sDw?authuser=0&hl=en&rclk=1","Spice Nation Burwood","3.9","(635)","","","·","Indian","·","17 Burwood Hwy","·","","Open","⋅ Closes 12AM","https://lh5.googleusercontent.com/p/AF1QipMP571-oIdH4VorwMw9BWD-hx6DneKGmDtybgr2=w122-h92-k-no","Dine-in","·","Kerbside pickup","·","No-contact delivery","·","","",""
"https://www.google.com/maps/place/Aladdin's+Lounge/data=!4m7!3m6!1s0x6ad641457b031acb:0x61fef6be5f2802d9!8m2!3d-37.8503433!4d145.0968353!16s%2Fg%2F11q3sfx28s!19sChIJyxoDe0VB1moR2QIoX772_mE?authuser=0&hl=en&rclk=1","Aladdin's Lounge","4.8","(19)","·","$$","·","Restaurant","·","29-31 Burwood Hwy","·","","Open","⋅ Closes 12AM","https://lh5.googleusercontent.com/p/AF1QipNwKe5UDCt85bRnTRbIN1yEUwDiXwGJXz5MVKpI=w137-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","",""
"https://www.google.com/maps/place/Xi'an+Famous+Food/data=!4m7!3m6!1s0x6ad64060def6abdd:0x41c546393649a193!8m2!3d-37.8500379!4d145.1180357!16s%2Fg%2F11gg72yw01!19sChIJ3av23mBA1moRk6FJNjlGxUE?authuser=0&hl=en&rclk=1","Xi'an Famous Food","4.2","(63)","·","$","·","Restaurant","·","251/255 Burwood Hwy","·","","Closed","⋅ Opens 10:30AM Mon","https://lh5.googleusercontent.com/p/AF1QipMSFccLEwPLfkL12i_xWZKiTiBdPKPL7YYOZ7YH=w80-h106-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","https://food.google.com/chooseprovider?restaurantId=/g/11gg72yw01&g2lbs=AL1YbfWMdq2DtiTi5chg7yl6mEgZTOARcZMENrr2QpT-WvZCV6E5NkRssARRC2Pm00quqegIZ2CrviqM5a6kvUZOLUNRQAL1NGLr9z1_g-fDkbkBDGKtBLE%3D&hl=en-AU&gl=au&fo_m=MfohQo559jFvMWvkddHzV46uMT_RFPQ05bfKMQVr5-7IofUJMU_hT8vrWuwRMUv3d8yCO4PgMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HHQ5Y66OGb2D4-EPyeSI8As&ei=HHQ5Y66OGb2D4-EPyeSI8As&fo_s=OA,AH","Order online"
"https://www.google.com/maps/place/Ichiro+Izakaya+Bar/data=!4m7!3m6!1s0x6ad6413c1635efc9:0x3e9fa70c78422f0e!8m2!3d-37.8491424!4d145.134436!16s%2Fg%2F11fr3gc48c!19sChIJye81FjxB1moRDi9CeAynnz4?authuser=0&hl=en&rclk=1","Ichiro Izakaya Bar","4.5","(260)","·","$$","·","Japanese","·","t20/70 Middleborough Rd","·","","Closed","⋅ Opens 11:30AM Tue","https://lh5.googleusercontent.com/p/AF1QipMdhhAGDfkQ5Sc3NSNPt7U66d4asLhNYBhgbSIM=w163-h92-k-no","Dine-in","·","Takeaway","·","Delivery","·","","https://www.google.com/maps/reserve/v/dine/c/zBcKYxW34As?source=pa&hl=en-AU&gei=HHQ5Y66OGb2D4-EPyeSI8As&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dau%26pb%3D!4m12!1m3!1d15902.062465697545!2d145.1265483489004!3d-37.83985756036363!2m3!1f0!2f0!3f0!3m2!1i1920!2i969!4f13.1!7i20!10b1!12m8!1m1!18b1!2m3!5m1!6e2!20e3!10b1!16b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m42!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e9!2b1!3e2!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!2b1!4b1!9b0!22m6!1shXI5Y-SPA9iM4-EP2dSm4Aw:2!2s1i:0,t:11886,p:hXI5Y-SPA9iM4-EP2dSm4Aw:2!7e81!12e5!17shXI5Y-SPA9iM4-EP2dSm4Aw:335!18e15!24m70!1m22!13m8!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!18m12!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!15b1!17b1!20b1!21b1!2b1!5m5!2b1!3b1!5b1!6b1!7b1!10m1!8e3!14m1!3b1!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m2!1b1!3b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m4!1m2!3b1!5b1!4b1!89b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i458!2i969!1m6!1m2!1i1870!2i0!2m2!1i1920!2i969!1m6!1m2!1i0!2i0!2m2!1i1920!2i20!1m6!1m2!1i0!2i949!2m2!1i1920!2i969!34m18!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!37m1!1e81!42b1!47m0!49m5!3b1!6m1!1b1!7m1!1e3!50m4!2e2!3m2!1b1!3b1!67m2!7b1!10b1!69i620%26q%3Ddinning%2Bin%2Bburwood%26oq%3Ddinning%2Bin%2Bburwood%26gs_l%3Dmaps.3..115i144k1.385007.385768.2.387199.8.7.0.0.0.0.337.1025.0j1j2j1.4.0....0...1ac.1.64.maps..6.2.555...38i377i430i444k1j38i377i430i427k1j38i377i430i426k1.0.%26ech%3D8%26psi%3DhXI5Y-SPA9iM4-EP2dSm4Aw.1664709254246.1","Reserve a table"
"https://www.google.com/maps/place/Taste+Dumpling/data=!4m7!3m6!1s0x6ad64060dc6282dd:0x531b8034eff94055!8m2!3d-37.8500264!4d145.1176825!16s%2Fg%2F1hc6_l9ww!19sChIJ3YJi3GBA1moRVUD57zSAG1M?authuser=0&hl=en&rclk=1","Taste Dumpling","3.7","(627)","·","$","·","Chinese","·","251A Burwood Hwy","·","","Closed","⋅ Opens 10:30AM Mon","https://lh5.googleusercontent.com/p/AF1QipOpk-zpFOwDUS9jaXsgwulRL5Vy3zEA1eZLdbwg=w122-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery","·","","https://food.google.com/chooseprovider?restaurantId=/g/1hc6_l9ww&g2lbs=AL1YbfWxwK1TBbvxpJRitsvKpAeO8E-RcD_5ASTvWH7LbS7_IB20HPV447mgCMMmYAJpoP7KHMsXxzgq1ANVuaQgL5730GGxr2naus4lLEZHaBh5uxgmrkU%3D&hl=en-AU&gl=au&fo_m=MfohQo559jFvMWvkddHzV46uMT_RFPQ05bfKMQVr5-7IofUJMU_hT8vrWuwRMUv3d8yCO4PgMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HHQ5Y66OGb2D4-EPyeSI8As&ei=HHQ5Y66OGb2D4-EPyeSI8As&fo_s=OA,AH","Order online"
